User,Group,Language Group,Individual,Task,Media Condition,Trial,Order in Total,Gender,[Human code]     Iconic gesture - concrete representations,[Human code]     Metaphoric gesture - representing abstract ideas/categories,[Human code]     Non-iconic,[Human code]     Pointing Gesture (),Total Gesture,percentage of iconic gesture,percentage of I/M gesture,percentage of I/M/P gesture
1A,1,E-L1 vs E-L2,U1,wing,F,1,5,M,2,3,12,6,23,0.0869565,0.2173913,0.4782609
1B,1,E-L1 vs E-L2,U2,wing,F,1,5,M,0,2,10,0,12,0,0.1666667,0.1666667
1A,1,E-L1 vs E-L2,U1,thumb,V,2,5,M,0,0,3,4,7,0,0,0.5714286
1B,1,E-L1 vs E-L2,U2,thumb,V,2,5,M,1,6,5,2,14,0.0714286,0.5,0.6428571
1A,1,E-L1 vs E-L2,U1,eye,A,3,5,M,0,0,11,0,11,0,0,0
1B,1,E-L1 vs E-L2,U2,eye,A,3,5,M,0,0,0,0,0,0,0,0
2A,2,E-L1 vs E-L2,U1,thumb,F,1,13,M,15,0,27,9,51,0.2941176,0.2941176,0.4705882
2B,2,E-L1 vs E-L2,U2,thumb,F,1,13,F,1,0,27,63,91,0.010989,0.010989,0.7032967
2A,2,E-L1 vs E-L2,U1,eye,V,2,13,M,4,0,26,12,42,0.0952381,0.0952381,0.3809524
2B,2,E-L1 vs E-L2,U2,eye,V,2,13,F,3,0,9,5,17,0.1764706,0.1764706,0.4705882
2A,2,E-L1 vs E-L2,U1,wing,A,3,13,M,2,0,19,12,33,0.0606061,0.0606061,0.4242424
2B,2,E-L1 vs E-L2,U2,wing,A,3,13,F,2,0,16,0,18,0.1111111,0.1111111,0.1111111
3A,3,E-L1 vs E-L2,U1,eye,F,1,8,M,18,12,28,10,68,0.2647059,0.4411765,0.5882353
3B,3,E-L1 vs E-L2,U2,eye,F,1,8,F,5,5,14,4,28,0.1785714,0.3571429,0.5
3A,3,E-L1 vs E-L2,U1,wing,V,2,8,M,12,6,23,8,49,0.244898,0.3673469,0.5306122
3B,3,E-L1 vs E-L2,U2,wing,V,2,8,F,3,4,16,4,27,0.1111111,0.2592593,0.4074074
3A,3,E-L1 vs E-L2,U1,thumb,A,3,8,M,38,9,34,0,81,0.4691358,0.5802469,0.5802469
3B,3,E-L1 vs E-L2,U2,thumb,A,3,8,F,7,5,21,0,33,0.2121212,0.3636364,0.3636364
4A,4,E-L1 vs E-L2,U1,wing,F,1,16,M,4,0,30,0,34,0.1176471,0.1176471,0.1176471
4B,4,E-L1 vs E-L2,U2,wing,F,1,16,F,1,0,10,0,11,0.0909091,0.0909091,0.0909091
4A,4,E-L1 vs E-L2,U1,thumb,A,2,16,M,0,0,7,0,7,0,0,0
4B,4,E-L1 vs E-L2,U2,thumb,A,2,16,F,1,0,22,0,23,0.0434783,0.0434783,0.0434783
4A,4,E-L1 vs E-L2,U1,eye,V,3,16,M,0,0,15,5,20,0,0,0.25
4B,4,E-L1 vs E-L2,U2,eye,V,3,16,F,0,0,21,1,22,0,0,0.0454545
5A,5,E-L1 vs E-L2,U1,eye,F,1,4,F,4,6,5,10,25,0.16,0.4,0.8
5B,5,E-L1 vs E-L2,U2,eye,F,1,4,F,16,8,21,32,77,0.2077922,0.3116883,0.7272727
5A,5,E-L1 vs E-L2,U1,wing,A,2,4,F,0,0,2,0,2,0,0,0
5B,5,E-L1 vs E-L2,U2,wing,A,2,4,F,0,1,12,3,16,0,0.0625,0.25
5A,5,E-L1 vs E-L2,U1,thumb,V,3,4,F,31,5,31,3,70,0.4428571,0.5142857,0.5571429
5B,5,E-L1 vs E-L2,U2,thumb,V,3,4,F,28,12,22,13,75,0.3733333,0.5333333,0.7066667
6A,6,E-L1 vs E-L2,U1,thumb,F,1,1,F,5,16,10,3,34,0.1470588,0.6176471,0.7058824
6B,6,E-L1 vs E-L2,U2,thumb,F,1,1,M,4,21,8,10,43,0.0930233,0.5813953,0.8139535
6A,6,E-L1 vs E-L2,U1,eye,A,2,1,F,1,6,12,8,27,0.037037,0.2592593,0.5555556
6B,6,E-L1 vs E-L2,U2,eye,A,2,1,M,0,6,5,4,15,0,0.4,0.6666667
6A,6,E-L1 vs E-L2,U1,wing,V,3,1,F,2,6,10,3,21,0.0952381,0.3809524,0.5238095
6B,6,E-L1 vs E-L2,U2,wing,V,3,1,M,7,18,27,5,57,0.122807,0.4385965,0.5263158
7A,7,E-L1 vs E-L2,U1,wing,V,1,14,M,3,2,12,1,18,0.1666667,0.2777778,0.3333333
7B,7,E-L1 vs E-L2,U2,wing,V,1,14,M,14,27,65,10,116,0.1206897,0.3534483,0.4396552
7A,7,E-L1 vs E-L2,U1,thumb,F,2,14,M,6,4,8,0,18,0.3333333,0.5555556,0.5555556
7B,7,E-L1 vs E-L2,U2,thumb,F,2,14,M,21,4,33,18,76,0.2763158,0.3289474,0.5657895
7A,7,E-L1 vs E-L2,U1,eye,A,3,14,M,0,0,11,0,11,0,0,0
7B,7,E-L1 vs E-L2,U2,eye,A,3,14,M,0,0,11,2,13,0,0,0.1538462
8A,8,E-L1 vs E-L2,U1,thumb,V,1,17,F,37,3,0,1,41,0.902439,0.9756098,1
8B,8,E-L1 vs E-L2,U2,thumb,V,1,17,M,24,24,12,1,61,0.3934426,0.7868852,0.8032787
8A,8,E-L1 vs E-L2,U1,eye,F,2,17,F,27,5,1,0,33,0.8181818,0.969697,0.969697
8B,8,E-L1 vs E-L2,U2,eye,F,2,17,M,23,33,21,1,78,0.2948718,0.7179487,0.7307692
8A,8,E-L1 vs E-L2,U1,wing,A,3,17,F,1,0,0,0,1,1,1,1
8B,8,E-L1 vs E-L2,U2,wing,A,3,17,M,9,15,5,0,29,0.3103448,0.8275862,0.8275862
9A,9,E-L1 vs E-L2,U1,eye,V,1,3,F,1,3,8,2,14,0.0714286,0.2857143,0.4285714
9B,9,E-L1 vs E-L2,U2,eye,V,1,3,M,0,3,22,2,27,0,0.1111111,0.1851852
9A,9,E-L1 vs E-L2,U1,wing,F,2,3,F,16,6,13,0,35,0.4571429,0.6285714,0.6285714
9B,9,E-L1 vs E-L2,U2,wing,F,2,3,M,5,5,18,1,29,0.1724138,0.3448276,0.3793103
9A,9,E-L1 vs E-L2,U1,thumb,A,3,3,F,4,12,18,8,42,0.0952381,0.3809524,0.5714286
9B,9,E-L1 vs E-L2,U2,thumb,A,3,3,M,16,6,13,0,35,0.4571429,0.6285714,0.6285714
10A,10,E-L1 vs E-L2,U1,eye,V,1,7,M,1,0,65,11,77,0.012987,0.012987,0.1558442
10B,10,E-L1 vs E-L2,U2,eye,V,1,7,F,3,0,24,1,28,0.1071429,0.1071429,0.1428571
10A,10,E-L1 vs E-L2,U1,wing,A,2,7,M,1,0,35,2,38,0.0263158,0.0263158,0.0789474
10B,10,E-L1 vs E-L2,U2,wing,A,2,7,F,0,0,12,1,13,0,0,0.0769231
10A,10,E-L1 vs E-L2,U1,thumb,F,3,7,M,7,0,60,9,76,0.0921053,0.0921053,0.2105263
10B,10,E-L1 vs E-L2,U2,thumb,F,3,7,F,1,0,37,0,38,0.0263158,0.0263158,0.0263158
11A,11,E-L1 vs E-L2,U1,wing,V,1,2,M,4,5,46,4,59,0.0677966,0.1525424,0.220339
11B,11,E-L1 vs E-L2,U2,wing,V,1,2,F,7,1,28,1,37,0.1891892,0.2162162,0.2432432
11A,11,E-L1 vs E-L2,U1,thumb,A,2,2,M,2,0,24,2,28,0.0714286,0.0714286,0.1428571
11B,11,E-L1 vs E-L2,U2,thumb,A,2,2,F,3,2,27,0,32,0.09375,0.15625,0.15625
11A,11,E-L1 vs E-L2,U1,eye,F,3,2,M,5,3,24,7,39,0.1282051,0.2051282,0.3846154
11B,11,E-L1 vs E-L2,U2,eye,F,3,2,F,7,2,25,13,47,0.1489362,0.1914894,0.4680851
12A,12,E-L1 vs E-L2,U1,thumb,V,1,6,F,8,0,29,0,37,0.2162162,0.2162162,0.2162162
12B,12,E-L1 vs E-L2,U2,thumb,V,1,6,F,11,0,25,4,40,0.275,0.275,0.375
12A,12,E-L1 vs E-L2,U1,eye,A,2,6,F,0,0,19,3,22,0,0,0.1363636
12B,12,E-L1 vs E-L2,U2,eye,A,2,6,F,1,0,11,5,17,0.0588235,0.0588235,0.3529412
12A,12,E-L1 vs E-L2,U1,wing,F,3,6,F,2,0,21,2,25,0.08,0.08,0.16
12B,12,E-L1 vs E-L2,U2,wing,F,3,6,F,1,0,31,0,32,0.03125,0.03125,0.03125
13A,13,E-L1 vs E-L2,U1,eye,A,1,9,F,0,0,8,0,8,0,0,0
13B,13,E-L1 vs E-L2,U2,eye,A,1,9,M,0,0,8,0,8,0,0,0
13A,13,E-L1 vs E-L2,U1,thumb,F,2,9,F,6,2,5,1,14,0.4285714,0.5714286,0.6428571
13B,13,E-L1 vs E-L2,U2,thumb,F,2,9,M,0,0,8,8,16,0,0,0.5
13A,13,E-L1 vs E-L2,U1,wing,V,3,9,F,7,0,4,7,18,0.3888889,0.3888889,0.7777778
13B,13,E-L1 vs E-L2,U2,wing,V,3,9,M,7,0,6,6,19,0.3684211,0.3684211,0.6842105
14A,14,E-L1 vs E-L2,U1,wing,A,1,15,F,1,0,25,1,27,0.037037,0.037037,0.0740741
14B,14,E-L1 vs E-L2,U2,wing,A,1,15,M,3,0,39,1,43,0.0697674,0.0697674,0.0930233
14A,14,E-L1 vs E-L2,U1,eye,F,2,15,F,2,1,22,13,38,0.0526316,0.0789474,0.4210526
14B,14,E-L1 vs E-L2,U2,eye,F,2,15,M,8,0,32,19,59,0.1355932,0.1355932,0.4576271
14A,14,E-L1 vs E-L2,U1,thumb,V,3,15,F,18,0,47,7,72,0.25,0.25,0.3472222
14B,14,E-L1 vs E-L2,U2,thumb,V,3,15,M,14,0,87,8,109,0.1284404,0.1284404,0.2018349
15A,15,E-L1 vs E-L2,U1,thumb,A,1,18,F,26,12,22,0,60,0.4333333,0.6333333,0.6333333
15B,15,E-L1 vs E-L2,U2,thumb,A,1,18,M,55,17,8,0,80,0.6875,0.9,0.9
15A,15,E-L1 vs E-L2,U1,wing,F,2,18,F,15,17,26,4,62,0.2419355,0.516129,0.5806452
15B,15,E-L1 vs E-L2,U2,wing,F,2,18,M,51,37,30,9,127,0.4015748,0.6929134,0.7637795
15A,15,E-L1 vs E-L2,U1,eye,V,3,18,F,17,37,34,10,98,0.1734694,0.5510204,0.6530612
15B,15,E-L1 vs E-L2,U2,eye,V,3,18,M,31,23,33,26,113,0.2743363,0.4778761,0.7079646
16A,16,E-L1 vs E-L2,U1,thumb,A,1,11,M,14,9,12,5,40,0.35,0.575,0.7
16B,16,E-L1 vs E-L2,U2,thumb,A,1,11,F,8,6,21,1,36,0.2222222,0.3888889,0.4166667
16A,16,E-L1 vs E-L2,U1,eye,V,2,11,M,9,7,18,12,46,0.1956522,0.3478261,0.6086957
16B,16,E-L1 vs E-L2,U2,eye,V,2,11,F,10,8,15,11,44,0.2272727,0.4090909,0.6590909
16A,16,E-L1 vs E-L2,U1,wing,F,3,11,M,13,8,13,5,39,0.3333333,0.5384615,0.6666667
16B,16,E-L1 vs E-L2,U2,wing,F,3,11,F,11,6,8,5,30,0.3666667,0.5666667,0.7333333
17A,17,E-L1 vs E-L2,U1,wing,A,1,12,M,0,0,12,0,12,0,0,0
17B,17,E-L1 vs E-L2,U2,wing,A,1,12,F,0,0,22,1,23,0,0,0.0434783
17A,17,E-L1 vs E-L2,U1,thumb,V,2,12,M,0,0,39,1,40,0,0,0.025
17B,17,E-L1 vs E-L2,U2,thumb,V,2,12,F,1,0,30,3,34,0.0294118,0.0294118,0.1176471
17A,17,E-L1 vs E-L2,U1,eye,F,3,12,M,0,0,24,4,28,0,0,0.1428571
17B,17,E-L1 vs E-L2,U2,eye,F,3,12,F,0,0,27,4,31,0,0,0.1290323
18A,18,E-L1 vs E-L2,U1,eye,A,1,10,F,2,1,17,1,21,0.0952381,0.1428571,0.1904762
18B,18,E-L1 vs E-L2,U2,eye,A,1,10,M,7,3,38,6,54,0.1296296,0.1851852,0.2962963
18A,18,E-L1 vs E-L2,U1,wing,V,2,10,F,5,3,33,4,45,0.1111111,0.1777778,0.2666667
18B,18,E-L1 vs E-L2,U2,wing,V,2,10,M,7,1,45,3,56,0.125,0.1428571,0.1964286
18A,18,E-L1 vs E-L2,U1,thumb,F,3,10,F,20,6,38,6,70,0.2857143,0.3714286,0.4571429
18B,18,E-L1 vs E-L2,U2,thumb,F,3,10,M,9,1,30,10,50,0.18,0.2,0.4
37A,37,E-L2 vs E-L2,U1,wing,F,1,10,F,4,0,39,1,44,0.0909091,0.0909091,0.1136364
37B,37,E-L2 vs E-L2,U2,wing,F,1,10,F,9,0,75,0,84,0.1071429,0.1071429,0.1071429
37A,37,E-L2 vs E-L2,U1,thumb,V,2,10,F,6,0,48,1,55,0.1090909,0.1090909,0.1272727
37B,37,E-L2 vs E-L2,U2,thumb,V,2,10,F,6,0,84,5,95,0.0631579,0.0631579,0.1157895
37A,37,E-L2 vs E-L2,U1,eye,A,3,10,F,2,0,23,1,26,0.0769231,0.0769231,0.1153846
37B,37,E-L2 vs E-L2,U2,eye,A,3,10,F,1,0,76,3,80,0.0125,0.0125,0.05
38A,38,E-L2 vs E-L2,U1,thumb,F,1,9,F,4,1,30,8,43,0.0930233,0.1162791,0.3023256
38B,38,E-L2 vs E-L2,U2,thumb,F,1,9,F,15,0,62,6,83,0.1807229,0.1807229,0.253012
38A,38,E-L2 vs E-L2,U1,eye,V,2,9,F,8,1,28,15,52,0.1538462,0.1730769,0.4615385
38B,38,E-L2 vs E-L2,U2,eye,V,2,9,F,11,0,57,42,110,0.1,0.1,0.4818182
38A,38,E-L2 vs E-L2,U1,wing,A,3,9,F,1,0,32,2,35,0.0285714,0.0285714,0.0857143
38B,38,E-L2 vs E-L2,U2,wing,A,3,9,F,6,0,85,0,91,0.0659341,0.0659341,0.0659341
39A,39,E-L2 vs E-L2,U1,eye,F,1,14,F,0,0,16,6,22,0,0,0.2727273
39B,39,E-L2 vs E-L2,U2,eye,F,1,14,F,1,0,26,3,30,0.0333333,0.0333333,0.1333333
39A,39,E-L2 vs E-L2,U1,wing,V,2,14,F,8,0,20,2,30,0.2666667,0.2666667,0.3333333
39B,39,E-L2 vs E-L2,U2,wing,V,2,14,F,3,0,33,1,37,0.0810811,0.0810811,0.1081081
39A,39,E-L2 vs E-L2,U1,thumb,A,3,14,F,0,0,38,0,38,0,0,0
39B,39,E-L2 vs E-L2,U2,thumb,A,3,14,F,0,0,19,0,19,0,0,0
40A,40,E-L2 vs E-L2,U1,wing,F,1,18,M,10,0,70,2,82,0.1219512,0.1219512,0.1463415
40B,40,E-L2 vs E-L2,U2,wing,F,1,18,F,2,0,13,0,15,0.1333333,0.1333333,0.1333333
40A,40,E-L2 vs E-L2,U1,thumb,A,2,18,M,5,0,64,1,70,0.0714286,0.0714286,0.0857143
40B,40,E-L2 vs E-L2,U2,thumb,A,2,18,F,1,0,25,0,26,0.0384615,0.0384615,0.0384615
40A,40,E-L2 vs E-L2,U1,eye,V,3,18,M,1,0,83,2,86,0.0116279,0.0116279,0.0348837
40B,40,E-L2 vs E-L2,U2,eye,V,3,18,F,0,0,23,1,24,0,0,0.0416667
41A,41,E-L2 vs E-L2,U1,eye,F,1,5,F,5,12,17,3,37,0.1351351,0.4594595,0.5405405
41B,41,E-L2 vs E-L2,U2,eye,F,1,5,M,16,14,18,7,55,0.2909091,0.5454545,0.6727273
41A,41,E-L2 vs E-L2,U1,wing,A,2,5,F,0,2,4,0,6,0,0.3333333,0.3333333
41B,41,E-L2 vs E-L2,U2,wing,A,2,5,M,0,0,1,0,1,0,0,0
41A,41,E-L2 vs E-L2,U1,thumb,V,3,5,F,19,7,20,4,50,0.38,0.52,0.6
41B,41,E-L2 vs E-L2,U2,thumb,V,3,5,M,26,10,9,1,46,0.5652174,0.7826087,0.8043478
42A,42,E-L2 vs E-L2,U1,thumb,F,1,13,F,3,0,60,4,67,0.0447761,0.0447761,0.1044776
42B,42,E-L2 vs E-L2,U2,thumb,F,1,13,M,3,0,40,10,53,0.0566038,0.0566038,0.245283
42A,42,E-L2 vs E-L2,U1,eye,A,2,13,F,0,0,29,7,36,0,0,0.1944444
42B,42,E-L2 vs E-L2,U2,eye,A,2,13,M,0,0,30,5,35,0,0,0.1428571
42A,42,E-L2 vs E-L2,U1,wing,V,3,13,F,4,0,52,0,56,0.0714286,0.0714286,0.0714286
42B,42,E-L2 vs E-L2,U2,wing,V,3,13,M,6,0,28,1,35,0.1714286,0.1714286,0.2
43A,43,E-L2 vs E-L2,U1,wing,V,1,11,M,0,0,25,0,25,0,0,0
43B,43,E-L2 vs E-L2,U2,wing,V,1,11,F,0,0,4,0,4,0,0,0
43A,43,E-L2 vs E-L2,U1,thumb,F,2,11,M,1,0,15,0,16,0.0625,0.0625,0.0625
43B,43,E-L2 vs E-L2,U2,thumb,F,2,11,F,0,0,17,0,17,0,0,0
43A,43,E-L2 vs E-L2,U1,eye,A,3,11,M,0,0,23,0,23,0,0,0
43B,43,E-L2 vs E-L2,U2,eye,A,3,11,F,0,0,9,0,9,0,0,0
44A,44,E-L2 vs E-L2,U1,thumb,V,1,3,M,6,9,12,5,32,0.1875,0.46875,0.625
44B,44,E-L2 vs E-L2,U2,thumb,V,1,3,M,4,7,23,3,37,0.1081081,0.2972973,0.3783784
44A,44,E-L2 vs E-L2,U1,eye,F,2,3,M,11,5,10,15,41,0.2682927,0.3902439,0.7560976
44B,44,E-L2 vs E-L2,U2,eye,F,2,3,M,15,8,22,9,54,0.2777778,0.4259259,0.5925926
44A,44,E-L2 vs E-L2,U1,wing,A,3,3,M,2,5,6,1,14,0.1428571,0.5,0.5714286
44B,44,E-L2 vs E-L2,U2,wing,A,3,3,M,14,10,22,5,51,0.2745098,0.4705882,0.5686275
45A,45,E-L2 vs E-L2,U1,eye,V,1,1,M,2,5,14,3,24,0.0833333,0.2916667,0.4166667
45B,45,E-L2 vs E-L2,U2,eye,V,1,1,M,2,8,25,5,40,0.05,0.25,0.375
45A,45,E-L2 vs E-L2,U1,wing,F,2,1,M,5,8,15,0,28,0.1785714,0.4642857,0.4642857
45B,45,E-L2 vs E-L2,U2,wing,F,2,1,M,6,17,35,0,58,0.1034483,0.3965517,0.3965517
45A,45,E-L2 vs E-L2,U1,thumb,A,3,1,M,0,13,14,1,28,0,0.4642857,0.5
45B,45,E-L2 vs E-L2,U2,thumb,A,3,1,M,2,11,18,4,35,0.0571429,0.3714286,0.4857143
46A,46,E-L2 vs E-L2,U1,eye,V,1,17,F,3,0,17,21,41,0.0731707,0.0731707,0.5853659
46B,46,E-L2 vs E-L2,U2,eye,V,1,17,F,1,0,29,11,41,0.0243902,0.0243902,0.2926829
46A,46,E-L2 vs E-L2,U1,wing,A,2,17,F,0,0,4,4,8,0,0,0.5
46B,46,E-L2 vs E-L2,U2,wing,A,2,17,F,0,0,35,1,36,0,0,0.0277778
46A,46,E-L2 vs E-L2,U1,thumb,F,3,17,F,4,0,33,9,46,0.0869565,0.0869565,0.2826087
46B,46,E-L2 vs E-L2,U2,thumb,F,3,17,F,3,0,42,9,54,0.0555556,0.0555556,0.2222222
47A,47,E-L2 vs E-L2,U1,wing,V,1,16,M,7,0,10,1,18,0.3888889,0.3888889,0.4444444
47B,47,E-L2 vs E-L2,U2,wing,V,1,16,F,16,0,53,2,71,0.2253521,0.2253521,0.2535211
47A,47,E-L2 vs E-L2,U1,thumb,A,2,16,M,4,0,15,0,19,0.2105263,0.2105263,0.2105263
47B,47,E-L2 vs E-L2,U2,thumb,A,2,16,F,6,0,34,2,42,0.1428571,0.1428571,0.1904762
47A,47,E-L2 vs E-L2,U1,eye,F,3,16,M,10,0,18,9,37,0.2702703,0.2702703,0.5135135
47B,47,E-L2 vs E-L2,U2,eye,F,3,16,F,2,0,27,15,44,0.0454545,0.0454545,0.3863636
48A,48,E-L2 vs E-L2,U1,thumb,V,1,15,F,19,19,16,4,58,0.3275862,0.6551724,0.7241379
48B,48,E-L2 vs E-L2,U2,thumb,V,1,15,F,8,13,23,7,51,0.1568627,0.4117647,0.5490196
48A,48,E-L2 vs E-L2,U1,eye,A,2,15,F,5,6,8,7,26,0.1923077,0.4230769,0.6923077
48B,48,E-L2 vs E-L2,U2,eye,A,2,15,F,0,3,22,5,30,0,0.1,0.2666667
48A,48,E-L2 vs E-L2,U1,wing,F,3,15,F,3,19,17,8,47,0.0638298,0.4680851,0.6382979
48B,48,E-L2 vs E-L2,U2,wing,F,3,15,F,19,19,16,8,62,0.3064516,0.6129032,0.7419355
49A,49,E-L2 vs E-L2,U1,eye,A,1,4,M,2,0,14,1,17,0.1176471,0.1176471,0.1764706
49B,49,E-L2 vs E-L2,U2,eye,A,1,4,M,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
49A,49,E-L2 vs E-L2,U1,thumb,F,2,4,M,6,0,15,3,24,0.25,0.25,0.375
49B,49,E-L2 vs E-L2,U2,thumb,F,2,4,M,4,0,27,2,33,0.1212121,0.1212121,0.1818182
49A,49,E-L2 vs E-L2,U1,wing,V,3,4,M,1,0,17,0,18,0.0555556,0.0555556,0.0555556
49B,49,E-L2 vs E-L2,U2,wing,V,3,4,M,0,0,12,0,12,0,0,0
50A,50,E-L2 vs E-L2,U1,wing,A,1,12,F,2,0,36,3,41,0.0487805,0.0487805,0.1219512
50B,50,E-L2 vs E-L2,U2,wing,A,1,12,F,1,0,5,1,7,0.1428571,0.1428571,0.2857143
50A,50,E-L2 vs E-L2,U1,eye,F,2,12,F,5,0,40,6,51,0.0980392,0.0980392,0.2156863
50B,50,E-L2 vs E-L2,U2,eye,F,2,12,F,6,0,11,12,29,0.2068966,0.2068966,0.6206897
50A,50,E-L2 vs E-L2,U1,thumb,V,3,12,F,4,0,30,12,46,0.0869565,0.0869565,0.3478261
50B,50,E-L2 vs E-L2,U2,thumb,V,3,12,F,5,0,32,1,38,0.1315789,0.1315789,0.1578947
51A,51,E-L2 vs E-L2,U1,thumb,A,1,7,F,1,0,40,0,41,0.0243902,0.0243902,0.0243902
51B,51,E-L2 vs E-L2,U2,thumb,A,1,7,F,1,0,22,3,26,0.0384615,0.0384615,0.1538462
51A,51,E-L2 vs E-L2,U1,wing,F,2,7,F,5,0,29,1,35,0.1428571,0.1428571,0.1714286
51B,51,E-L2 vs E-L2,U2,wing,F,2,7,F,0,0,31,1,32,0,0,0.03125
51A,51,E-L2 vs E-L2,U1,eye,V,3,7,F,4,0,29,10,43,0.0930233,0.0930233,0.3255814
51B,51,E-L2 vs E-L2,U2,eye,V,3,7,F,6,0,33,16,55,0.1090909,0.1090909,0.4
52A,52,E-L2 vs E-L2,U1,thumb,A,1,6,M,1,0,18,6,25,0.04,0.04,0.28
52B,52,E-L2 vs E-L2,U2,thumb,A,1,6,M,1,0,14,1,16,0.0625,0.0625,0.125
52A,52,E-L2 vs E-L2,U1,eye,V,2,6,M,1,0,16,8,25,0.04,0.04,0.36
52B,52,E-L2 vs E-L2,U2,eye,V,2,6,M,1,0,26,10,37,0.027027,0.027027,0.2972973
52A,52,E-L2 vs E-L2,U1,wing,F,3,6,M,2,0,24,3,29,0.0689655,0.0689655,0.1724138
52B,52,E-L2 vs E-L2,U2,wing,F,3,6,M,1,0,43,1,45,0.0222222,0.0222222,0.0444444
53A,53,E-L2 vs E-L2,U1,wing,A,1,2,M,2,0,16,2,20,0.1,0.1,0.2
53B,53,E-L2 vs E-L2,U2,wing,A,1,2,M,0,0,11,0,11,0,0,0
53A,53,E-L2 vs E-L2,U1,thumb,V,2,2,M,8,0,12,12,32,0.25,0.25,0.625
53B,53,E-L2 vs E-L2,U2,thumb,V,2,2,M,3,0,7,4,14,0.2142857,0.2142857,0.5
53A,53,E-L2 vs E-L2,U1,eye,F,3,2,M,9,0,11,2,22,0.4090909,0.4090909,0.5
53B,53,E-L2 vs E-L2,U2,eye,F,3,2,M,0,0,12,0,12,0,0,0
54A,54,E-L2 vs E-L2,U1,eye,A,1,8,F,7,10,27,2,46,0.1521739,0.3695652,0.4130435
54B,54,E-L2 vs E-L2,U2,eye,A,1,8,F,11,12,5,0,28,0.3928571,0.8214286,0.8214286
54A,54,E-L2 vs E-L2,U1,wing,V,2,8,F,17,13,36,5,71,0.2394366,0.4225352,0.4929577
54B,54,E-L2 vs E-L2,U2,wing,V,2,8,F,26,22,15,2,65,0.4,0.7384615,0.7692308
54A,54,E-L2 vs E-L2,U1,thumb,F,3,8,F,51,19,18,9,97,0.5257732,0.7216495,0.814433
54B,54,E-L2 vs E-L2,U2,thumb,F,3,8,F,58,5,10,3,76,0.7631579,0.8289474,0.8684211