User,Group,Language Group,Individual,Task,Media Condition,Trial,Order in Total,Gender,Word counts,Sentences counts,% words in group,% sentences in group
1A,1,E-L1 vs E-L2,U1,wing,F,1,5,M,,,,
1B,1,E-L1 vs E-L2,U2,wing,F,1,5,M,,,,
1A,1,E-L1 vs E-L2,U1,thumb,V,2,5,M,,,,
1B,1,E-L1 vs E-L2,U2,thumb,V,2,5,M,,,,
1A,1,E-L1 vs E-L2,U1,eye,A,3,5,M,,,,
1B,1,E-L1 vs E-L2,U2,eye,A,3,5,M,,,,
2A,2,E-L1 vs E-L2,U1,thumb,F,1,13,M,649,93,0.684599156,0.669064748
2B,2,E-L1 vs E-L2,U2,thumb,F,1,13,F,299,46,0.315400844,0.330935252
2A,2,E-L1 vs E-L2,U1,eye,V,2,13,M,664,70,0.744394619,0.729166667
2B,2,E-L1 vs E-L2,U2,eye,V,2,13,F,228,26,0.255605381,0.270833333
2A,2,E-L1 vs E-L2,U1,wing,A,3,13,M,622,101,0.587901701,0.604790419
2B,2,E-L1 vs E-L2,U2,wing,A,3,13,F,436,66,0.412098299,0.395209581
3A,3,E-L1 vs E-L2,U1,eye,F,1,8,M,937,79,0.788720539,0.658333333
3B,3,E-L1 vs E-L2,U2,eye,F,1,8,F,251,41,0.211279461,0.341666667
3A,3,E-L1 vs E-L2,U1,wing,V,2,8,M,825,77,0.796332046,0.762376238
3B,3,E-L1 vs E-L2,U2,wing,V,2,8,F,211,24,0.203667954,0.237623762
3A,3,E-L1 vs E-L2,U1,thumb,A,3,8,M,841,92,0.83681592,0.741935484
3B,3,E-L1 vs E-L2,U2,thumb,A,3,8,F,164,32,0.16318408,0.258064516
4A,4,E-L1 vs E-L2,U1,wing,F,1,16,M,556,43,0.644264195,0.581081081
4B,4,E-L1 vs E-L2,U2,wing,F,1,16,F,307,31,0.355735805,0.418918919
4A,4,E-L1 vs E-L2,U1,thumb,A,2,16,M,261,28,0.557692308,0.528301887
4B,4,E-L1 vs E-L2,U2,thumb,A,2,16,F,207,25,0.442307692,0.471698113
4A,4,E-L1 vs E-L2,U1,eye,V,3,16,M,808,76,0.74884152,0.584615385
4B,4,E-L1 vs E-L2,U2,eye,V,3,16,F,271,54,0.25115848,0.415384615
5A,5,E-L1 vs E-L2,U1,eye,F,1,4,F,136,32,0.157955865,0.225352113
5B,5,E-L1 vs E-L2,U2,eye,F,1,4,F,725,110,0.842044135,0.774647887
5A,5,E-L1 vs E-L2,U1,wing,A,2,4,F,192,43,0.217440544,0.282894737
5B,5,E-L1 vs E-L2,U2,wing,A,2,4,F,691,109,0.782559456,0.717105263
5A,5,E-L1 vs E-L2,U1,thumb,V,3,4,F,165,38,0.182926829,0.185365854
5B,5,E-L1 vs E-L2,U2,thumb,V,3,4,F,737,167,0.817073171,0.814634146
6A,6,E-L1 vs E-L2,U1,thumb,F,1,1,F,,,#DIV/0!,#DIV/0!
6B,6,E-L1 vs E-L2,U2,thumb,F,1,1,M,,,#DIV/0!,#DIV/0!
6A,6,E-L1 vs E-L2,U1,eye,A,2,1,F,,,#DIV/0!,#DIV/0!
6B,6,E-L1 vs E-L2,U2,eye,A,2,1,M,,,#DIV/0!,#DIV/0!
6A,6,E-L1 vs E-L2,U1,wing,V,3,1,F,,,#DIV/0!,#DIV/0!
6B,6,E-L1 vs E-L2,U2,wing,V,3,1,M,,,0,0
7A,7,E-L1 vs E-L2,U1,wing,V,1,14,M,161,33,1,1
7B,7,E-L1 vs E-L2,U2,wing,V,1,14,M,992,115,0.856649396,0.761589404
7A,7,E-L1 vs E-L2,U1,thumb,F,2,14,M,166,36,0.143350605,0.238410596
7B,7,E-L1 vs E-L2,U2,thumb,F,2,14,M,923,109,0.78956373,0.741496599
7A,7,E-L1 vs E-L2,U1,eye,A,3,14,M,246,38,0.241176471,0.322033898
7B,7,E-L1 vs E-L2,U2,eye,A,3,14,M,774,80,0.758823529,0.677966102
8A,8,E-L1 vs E-L2,U1,thumb,V,1,17,F,493,51,0.61625,0.53125
8B,8,E-L1 vs E-L2,U2,thumb,V,1,17,M,307,45,0.38375,0.46875
8A,8,E-L1 vs E-L2,U1,eye,F,2,17,F,382,41,0.479899498,0.460674157
8B,8,E-L1 vs E-L2,U2,eye,F,2,17,M,414,48,0.520100503,0.539325843
8A,8,E-L1 vs E-L2,U1,wing,A,3,17,F,380,43,0.489060489,0.338582677
8B,8,E-L1 vs E-L2,U2,wing,A,3,17,M,397,84,0.510939511,0.661417323
9A,9,E-L1 vs E-L2,U1,eye,V,1,3,F,741,127,0.548076923,0.512096774
9B,9,E-L1 vs E-L2,U2,eye,V,1,3,M,611,121,0.451923077,0.487903226
9A,9,E-L1 vs E-L2,U1,wing,F,2,3,F,526,118,0.498578199,0.526785714
9B,9,E-L1 vs E-L2,U2,wing,F,2,3,M,529,106,0.501421801,0.473214286
9A,9,E-L1 vs E-L2,U1,thumb,A,3,3,F,471,70,0.486068112,0.469798658
9B,9,E-L1 vs E-L2,U2,thumb,A,3,3,M,498,79,0.513931889,0.530201342
10A,10,E-L1 vs E-L2,U1,eye,V,1,7,M,1065,62,0.854049719,0.712643678
10B,10,E-L1 vs E-L2,U2,eye,V,1,7,F,182,25,0.145950281,0.287356322
10A,10,E-L1 vs E-L2,U1,wing,A,2,7,M,815,62,0.774714829,0.632653061
10B,10,E-L1 vs E-L2,U2,wing,A,2,7,F,237,36,0.225285171,0.367346939
10A,10,E-L1 vs E-L2,U1,thumb,F,3,7,M,921,96,0.826008969,0.690647482
10B,10,E-L1 vs E-L2,U2,thumb,F,3,7,F,194,43,0.173991031,0.309352518
11A,11,E-L1 vs E-L2,U1,wing,V,1,2,M,580,85,0.630434783,0.594405594
11B,11,E-L1 vs E-L2,U2,wing,V,1,2,F,340,58,0.369565217,0.405594406
11A,11,E-L1 vs E-L2,U1,thumb,A,2,2,M,577,64,0.756225426,0.680851064
11B,11,E-L1 vs E-L2,U2,thumb,A,2,2,F,186,30,0.243774574,0.319148936
11A,11,E-L1 vs E-L2,U1,eye,F,3,2,M,659,78,0.745475113,0.619047619
11B,11,E-L1 vs E-L2,U2,eye,F,3,2,F,225,48,0.254524887,0.380952381
12A,12,E-L1 vs E-L2,U1,thumb,V,1,6,F,325,42,0.337837838,0.392523365
12B,12,E-L1 vs E-L2,U2,thumb,V,1,6,F,637,65,0.662162162,0.607476636
12A,12,E-L1 vs E-L2,U1,eye,A,2,6,F,289,35,0.293103448,0.357142857
12B,12,E-L1 vs E-L2,U2,eye,A,2,6,F,697,63,0.706896552,0.642857143
12A,12,E-L1 vs E-L2,U1,wing,F,3,6,F,370,51,0.346441948,0.428571429
12B,12,E-L1 vs E-L2,U2,wing,F,3,6,F,698,68,0.653558052,0.571428571
13A,13,E-L1 vs E-L2,U1,eye,A,1,9,F,394,29,0.300076162,0.391891892
13B,13,E-L1 vs E-L2,U2,eye,A,1,9,M,919,45,0.699923839,0.608108108
13A,13,E-L1 vs E-L2,U1,thumb,F,2,9,F,301,26,0.221649485,0.276595745
13B,13,E-L1 vs E-L2,U2,thumb,F,2,9,M,1057,68,0.778350516,0.723404255
13A,13,E-L1 vs E-L2,U1,wing,V,3,9,F,337,24,0.226326394,0.266666667
13B,13,E-L1 vs E-L2,U2,wing,V,3,9,M,1152,66,0.773673606,0.733333333
14A,14,E-L1 vs E-L2,U1,wing,A,1,15,F,371,51,0.237212276,0.305389222
14B,14,E-L1 vs E-L2,U2,wing,A,1,15,M,1193,116,0.762787724,0.694610778
14A,14,E-L1 vs E-L2,U1,eye,F,2,15,F,412,64,0.246854404,0.395061728
14B,14,E-L1 vs E-L2,U2,eye,F,2,15,M,1257,98,0.753145596,0.604938272
14A,14,E-L1 vs E-L2,U1,thumb,V,3,15,F,492,72,0.296028881,0.423529412
14B,14,E-L1 vs E-L2,U2,thumb,V,3,15,M,1170,98,0.703971119,0.576470588
15A,15,E-L1 vs E-L2,U1,thumb,A,1,18,F,642,77,0.396541075,0.420765027
15B,15,E-L1 vs E-L2,U2,thumb,A,1,18,M,977,106,0.603458925,0.579234973
15A,15,E-L1 vs E-L2,U1,wing,F,2,18,F,447,69,0.287275064,0.37704918
15B,15,E-L1 vs E-L2,U2,wing,F,2,18,M,1109,114,0.712724936,0.62295082
15A,15,E-L1 vs E-L2,U1,eye,V,3,18,F,646,84,0.413572343,0.459016393
15B,15,E-L1 vs E-L2,U2,eye,V,3,18,M,916,99,0.586427657,0.540983607
16A,16,E-L1 vs E-L2,U1,thumb,A,1,11,M,548,63,0.368527236,0.422818792
16B,16,E-L1 vs E-L2,U2,thumb,A,1,11,F,939,86,0.631472764,0.577181208
16A,16,E-L1 vs E-L2,U1,eye,V,2,11,M,641,75,0.421156373,0.510204082
16B,16,E-L1 vs E-L2,U2,eye,V,2,11,F,881,72,0.578843627,0.489795918
16A,16,E-L1 vs E-L2,U1,wing,F,3,11,M,754,80,0.507061197,0.479041916
16B,16,E-L1 vs E-L2,U2,wing,F,3,11,F,733,87,0.492938803,0.520958084
17A,17,E-L1 vs E-L2,U1,wing,A,1,12,M,594,55,0.488888889,0.47008547
17B,17,E-L1 vs E-L2,U2,wing,A,1,12,F,621,62,0.511111111,0.52991453
17A,17,E-L1 vs E-L2,U1,thumb,V,2,12,M,635,57,0.525662252,0.487179487
17B,17,E-L1 vs E-L2,U2,thumb,V,2,12,F,573,60,0.474337748,0.512820513
17A,17,E-L1 vs E-L2,U1,eye,F,3,12,M,644,73,0.436906377,0.477124183
17B,17,E-L1 vs E-L2,U2,eye,F,3,12,F,830,80,0.563093623,0.522875817
18A,18,E-L1 vs E-L2,U1,eye,A,1,10,F,604,77,0.385942492,0.44
18B,18,E-L1 vs E-L2,U2,eye,A,1,10,M,961,98,0.614057508,0.56
18A,18,E-L1 vs E-L2,U1,wing,V,2,10,F,674,50,0.37196468,0.403225807
18B,18,E-L1 vs E-L2,U2,wing,V,2,10,M,1138,74,0.62803532,0.596774194
18A,18,E-L1 vs E-L2,U1,thumb,F,3,10,F,285,82,0.215582451,0.392344498
18B,18,E-L1 vs E-L2,U2,thumb,F,3,10,M,1037,127,0.784417549,0.607655502
37A,37,E-L2 vs E-L2,U1,wing,F,1,10,F,887,115,0.674012158,0.527522936
37B,37,E-L2 vs E-L2,U2,wing,F,1,10,F,429,103,0.325987842,0.472477064
37A,37,E-L2 vs E-L2,U1,thumb,V,2,10,F,971,121,0.715022091,0.576190476
37B,37,E-L2 vs E-L2,U2,thumb,V,2,10,F,387,89,0.284977909,0.423809524
37A,37,E-L2 vs E-L2,U1,eye,A,3,10,F,937,125,0.669285714,0.545851528
37B,37,E-L2 vs E-L2,U2,eye,A,3,10,F,463,104,0.330714286,0.454148472
38A,38,E-L2 vs E-L2,U1,thumb,F,1,9,F,770,98,0.659811482,0.590361446
38B,38,E-L2 vs E-L2,U2,thumb,F,1,9,F,397,68,0.340188518,0.409638554
38A,38,E-L2 vs E-L2,U1,eye,V,2,9,F,818,98,0.722614841,0.616352201
38B,38,E-L2 vs E-L2,U2,eye,V,2,9,F,314,61,0.277385159,0.383647799
38A,38,E-L2 vs E-L2,U1,wing,A,3,9,F,856,81,0.750877193,0.686440678
38B,38,E-L2 vs E-L2,U2,wing,A,3,9,F,284,37,0.249122807,0.313559322
39A,39,E-L2 vs E-L2,U1,eye,F,1,14,F,487,62,0.548423423,0.52991453
39B,39,E-L2 vs E-L2,U2,eye,F,1,14,F,401,55,0.451576577,0.47008547
39A,39,E-L2 vs E-L2,U1,wing,V,2,14,F,427,51,0.562582345,0.554347826
39B,39,E-L2 vs E-L2,U2,wing,V,2,14,F,332,41,0.437417655,0.445652174
39A,39,E-L2 vs E-L2,U1,thumb,A,3,14,F,479,46,0.582017011,0.511111111
39B,39,E-L2 vs E-L2,U2,thumb,A,3,14,F,344,44,0.417982989,0.488888889
40A,40,E-L2 vs E-L2,U1,wing,F,1,18,M,559,39,0.763661202,0.639344262
40B,40,E-L2 vs E-L2,U2,wing,F,1,18,F,173,22,0.236338798,0.360655738
40A,40,E-L2 vs E-L2,U1,thumb,A,2,18,M,556,53,0.773296245,0.646341463
40B,40,E-L2 vs E-L2,U2,thumb,A,2,18,F,163,29,0.226703755,0.353658537
40A,40,E-L2 vs E-L2,U1,eye,V,3,18,M,620,61,0.714285714,0.570093458
40B,40,E-L2 vs E-L2,U2,eye,V,3,18,F,248,46,0.285714286,0.429906542
41A,41,E-L2 vs E-L2,U1,eye,F,1,5,F,434,38,0.692185008,0.584615385
41B,41,E-L2 vs E-L2,U2,eye,F,1,5,M,193,27,0.307814992,0.415384615
41A,41,E-L2 vs E-L2,U1,wing,A,2,5,F,365,41,0.647163121,0.602941177
41B,41,E-L2 vs E-L2,U2,wing,A,2,5,M,199,27,0.352836879,0.397058824
41A,41,E-L2 vs E-L2,U1,thumb,V,3,5,F,391,38,0.669520548,0.678571429
41B,41,E-L2 vs E-L2,U2,thumb,V,3,5,M,193,18,0.330479452,0.321428571
42A,42,E-L2 vs E-L2,U1,thumb,F,1,13,F,670,89,0.639312977,0.597315436
42B,42,E-L2 vs E-L2,U2,thumb,F,1,13,M,378,60,0.360687023,0.402684564
42A,42,E-L2 vs E-L2,U1,eye,A,2,13,F,332,48,0.342268041,0.390243902
42B,42,E-L2 vs E-L2,U2,eye,A,2,13,M,638,75,0.657731959,0.609756098
42A,42,E-L2 vs E-L2,U1,wing,V,3,13,F,661,100,0.642371234,0.595238095
42B,42,E-L2 vs E-L2,U2,wing,V,3,13,M,368,68,0.357628766,0.404761905
43A,43,E-L2 vs E-L2,U1,wing,V,1,11,M,155,29,0.293560606,0.414285714
43B,43,E-L2 vs E-L2,U2,wing,V,1,11,F,373,41,0.706439394,0.585714286
43A,43,E-L2 vs E-L2,U1,thumb,F,2,11,M,370,31,0.669077758,0.543859649
43B,43,E-L2 vs E-L2,U2,thumb,F,2,11,F,183,26,0.330922242,0.456140351
43A,43,E-L2 vs E-L2,U1,eye,A,3,11,M,480,45,0.62992126,0.535714286
43B,43,E-L2 vs E-L2,U2,eye,A,3,11,F,282,39,0.37007874,0.464285714
44A,44,E-L2 vs E-L2,U1,thumb,V,1,3,M,286,44,0.707920792,0.721311475
44B,44,E-L2 vs E-L2,U2,thumb,V,1,3,M,118,17,0.292079208,0.278688525
44A,44,E-L2 vs E-L2,U1,eye,F,2,3,M,177,23,0.424460432,0.425925926
44B,44,E-L2 vs E-L2,U2,eye,F,2,3,M,240,31,0.575539568,0.574074074
44A,44,E-L2 vs E-L2,U1,wing,A,3,3,M,255,39,0.566666667,0.639344262
44B,44,E-L2 vs E-L2,U2,wing,A,3,3,M,195,22,0.433333333,0.360655738
45A,45,E-L2 vs E-L2,U1,eye,V,1,1,M,561,43,0.566666667,0.530864198
45B,45,E-L2 vs E-L2,U2,eye,V,1,1,M,429,38,0.433333333,0.469135803
45A,45,E-L2 vs E-L2,U1,wing,F,2,1,M,372,38,0.402597403,0.417582418
45B,45,E-L2 vs E-L2,U2,wing,F,2,1,M,552,53,0.597402597,0.582417582
45A,45,E-L2 vs E-L2,U1,thumb,A,3,1,M,462,50,0.47826087,0.505050505
45B,45,E-L2 vs E-L2,U2,thumb,A,3,1,M,504,49,0.52173913,0.494949495
46A,46,E-L2 vs E-L2,U1,eye,V,1,17,F,567,89,0.599365751,0.54601227
46B,46,E-L2 vs E-L2,U2,eye,V,1,17,F,379,74,0.40063425,0.45398773
46A,46,E-L2 vs E-L2,U1,wing,A,2,17,F,505,109,0.508559919,0.50462963
46B,46,E-L2 vs E-L2,U2,wing,A,2,17,F,488,107,0.491440081,0.49537037
46A,46,E-L2 vs E-L2,U1,thumb,F,3,17,F,526,91,0.478616925,0.484042553
46B,46,E-L2 vs E-L2,U2,thumb,F,3,17,F,573,97,0.521383076,0.515957447
47A,47,E-L2 vs E-L2,U1,wing,V,1,16,M,707,57,0.821138211,0.7125
47B,47,E-L2 vs E-L2,U2,wing,V,1,16,F,154,23,0.178861789,0.2875
47A,47,E-L2 vs E-L2,U1,thumb,A,2,16,M,598,96,0.682648402,0.607594937
47B,47,E-L2 vs E-L2,U2,thumb,A,2,16,F,278,62,0.317351598,0.392405063
47A,47,E-L2 vs E-L2,U1,eye,F,3,16,M,620,86,0.789808917,0.693548387
47B,47,E-L2 vs E-L2,U2,eye,F,3,16,F,165,38,0.210191083,0.306451613
48A,48,E-L2 vs E-L2,U1,thumb,V,1,15,F,337,59,0.408980583,0.472
48B,48,E-L2 vs E-L2,U2,thumb,V,1,15,F,487,66,0.591019418,0.528
48A,48,E-L2 vs E-L2,U1,eye,A,2,15,F,406,49,0.489156627,0.422413793
48B,48,E-L2 vs E-L2,U2,eye,A,2,15,F,424,67,0.510843374,0.577586207
48A,48,E-L2 vs E-L2,U1,wing,F,3,15,F,622,59,0.638603696,0.504273504
48B,48,E-L2 vs E-L2,U2,wing,F,3,15,F,352,58,0.361396304,0.495726496
49A,49,E-L2 vs E-L2,U1,eye,A,1,4,M,476,44,0.627140975,0.611111111
49B,49,E-L2 vs E-L2,U2,eye,A,1,4,M,283,28,0.372859025,0.388888889
49A,49,E-L2 vs E-L2,U1,thumb,F,2,4,M,242,50,0.244691608,0.396825397
49B,49,E-L2 vs E-L2,U2,thumb,F,2,4,M,747,76,0.755308392,0.603174603
49A,49,E-L2 vs E-L2,U1,wing,V,3,4,M,413,28,0.509247842,0.474576271
49B,49,E-L2 vs E-L2,U2,wing,V,3,4,M,398,31,0.490752158,0.525423729
50A,50,E-L2 vs E-L2,U1,wing,A,1,12,F,729,82,0.757009346,0.67768595
50B,50,E-L2 vs E-L2,U2,wing,A,1,12,F,234,39,0.242990654,0.32231405
50A,50,E-L2 vs E-L2,U1,eye,F,2,12,F,218,38,0.225206612,0.273381295
50B,50,E-L2 vs E-L2,U2,eye,F,2,12,F,750,101,0.774793388,0.726618705
50A,50,E-L2 vs E-L2,U1,thumb,V,3,12,F,739,90,0.7886873,0.697674419
50B,50,E-L2 vs E-L2,U2,thumb,V,3,12,F,198,39,0.2113127,0.302325581
51A,51,E-L2 vs E-L2,U1,thumb,A,1,7,F,501,57,0.542207792,0.518181818
51B,51,E-L2 vs E-L2,U2,thumb,A,1,7,F,423,53,0.457792208,0.481818182
51A,51,E-L2 vs E-L2,U1,wing,F,2,7,F,567,78,0.55862069,0.530612245
51B,51,E-L2 vs E-L2,U2,wing,F,2,7,F,448,69,0.44137931,0.469387755
51A,51,E-L2 vs E-L2,U1,eye,V,3,7,F,345,46,0.335603113,0.410714286
51B,51,E-L2 vs E-L2,U2,eye,V,3,7,F,683,66,0.664396887,0.589285714
52A,52,E-L2 vs E-L2,U1,thumb,A,1,6,M,320,45,0.455192034,0.608108108
52B,52,E-L2 vs E-L2,U2,thumb,A,1,6,M,383,29,0.544807966,0.391891892
52A,52,E-L2 vs E-L2,U1,eye,V,2,6,M,506,38,0.599526066,0.612903226
52B,52,E-L2 vs E-L2,U2,eye,V,2,6,M,338,24,0.400473934,0.387096774
52A,52,E-L2 vs E-L2,U1,wing,F,3,6,M,624,66,0.701123596,0.61682243
52B,52,E-L2 vs E-L2,U2,wing,F,3,6,M,266,41,0.298876405,0.38317757
53A,53,E-L2 vs E-L2,U1,wing,A,1,2,M,304,37,0.485623003,0.513888889
53B,53,E-L2 vs E-L2,U2,wing,A,1,2,M,322,35,0.514376997,0.486111111
53A,53,E-L2 vs E-L2,U1,thumb,V,2,2,M,175,19,0.577557756,0.487179487
53B,53,E-L2 vs E-L2,U2,thumb,V,2,2,M,128,20,0.422442244,0.512820513
53A,53,E-L2 vs E-L2,U1,eye,F,3,2,M,334,29,0.661386139,0.568627451
53B,53,E-L2 vs E-L2,U2,eye,F,3,2,M,171,22,0.338613861,0.431372549
54A,54,E-L2 vs E-L2,U1,eye,A,1,8,F,609,67,0.550632911,0.536
54B,54,E-L2 vs E-L2,U2,eye,A,1,8,F,497,58,0.449367089,0.464
54A,54,E-L2 vs E-L2,U1,wing,V,2,8,F,684,74,0.570951586,0.569230769
54B,54,E-L2 vs E-L2,U2,wing,V,2,8,F,514,56,0.429048414,0.430769231
54A,54,E-L2 vs E-L2,U1,thumb,F,3,8,F,581,75,0.529143898,0.547445256
54B,54,E-L2 vs E-L2,U2,thumb,F,3,8,F,517,62,0.470856102,0.452554745