User,Group,Language Group,Individual,Task,Media Condition,Trial,Order in Total,Gender,User Spoken Language,0.0(threshold)_UnitMotion_time (second),0.05_(threshold)_UnitMotion_time (second),0.1_(threshold)_UnitMotion_time (second),percenatge of 0.1 th gesture usage time,0.15_(threshold)_UnitMotion_time (second),percenatge of 0.15 th gesture usage time,0.2_(threshold)_UnitMotion_time (second),percenatge of 0.2 th gesture usage time,0.25_(threshold)_UnitMotion_time (second),percenatge of 0.25 th gesture usage time,0.3_(threshold)_UnitMotion_time (second),percenatge of 0.3 th gesture usage time,0.35_(threshold)_UnitMotion_time (second),percenatge of 0.35 th gesture usage time,0.4_(threshold)_UnitMotion_time (second),percenatge of 0.4 th gesture usage time,0.45_(threshold)_UnitMotion_time (second),0.5_(threshold)_UnitMotion_time (second),0.1_threshold_UnitMotion_averageTime,0.15_threshold_UnitMotion_averageTime,0.2_threshold_UnitMotion_averageTime,0.25_threshold_UnitMotion_averageTime,0.3_threshold_UnitMotion_averageTime,0.35_threshold_UnitMotion_averageTime,0.4_threshold_UnitMotion_averageTime
12B,12,E-L1 vs E-L2,U2,wing,F,3,6,F,Native,603.559,308.662,313.842,0.52307,339.841,0.566401667,322.368,0.53728,295.012,0.491686667,219.236,0.365393333,135.603,0.226005,0,0,0,0,1.937296296,4.144402439,7.163733333,14.7506,43.8472,135.603,0
13A,13,E-L1 vs E-L2,U1,eye,A,1,9,F,Non-Native,603.597,237.771,245.563,0.409271667,343.765,0.572941667,333.866,0.556443333,216.86,0.361433333,431.216,0.718693333,0,0,0,0,0,0,1.479295181,5.456587302,15.17572727,43.372,431.216,0,0
13B,13,E-L1 vs E-L2,U2,eye,A,1,9,M,Native,604.581,290.178,249.202,0.415336667,184.757,0.307928333,10.515,0.017525,0,0,0,0,0,0,0,0,0,0,3.719432836,23.094625,10.515,0,0,0,0
13A,13,E-L1 vs E-L2,U1,thumb,F,2,9,F,Non-Native,603.559,264.119,297.417,0.495695,200.785,0.334641667,259.035,0.431725,197.752,0.329586667,185.132,0.308553333,317.358,0.52893,0,0,0,0,1.376930556,2.256011236,5.887159091,9.8876,23.1415,105.786,0
13B,13,E-L1 vs E-L2,U2,thumb,F,2,9,M,Native,603.567,342.959,279.975,0.466625,234.373,0.390621667,303.243,0.505405,191.618,0.319363333,210.297,0.350495,130.668,0.21778,4.87,0.008116667,0,0,0.952295918,2.17012037,6.891886364,10.64544444,30.04242857,65.334,4.87
13A,13,E-L1 vs E-L2,U1,wing,V,3,9,F,Non-Native,603.865,271.961,252.285,0.420475,295.908,0.49318,178.707,0.297845,263.325,0.438875,286.983,0.478305,132.264,0.22044,0.208,0.000346667,0.208,0.208,1.280634518,3.181806452,4.702815789,15.48970588,57.3966,33.066,0.104
13B,13,E-L1 vs E-L2,U2,wing,V,3,9,M,Native,604.001,273.641,291.515,0.485858333,315.302,0.525503333,283.407,0.472345,4.402,0.007336667,1.072,0.001786667,1.005,0.001675,0,0,0,0,2.010448276,12.61208,28.3407,1.467333333,0.536,1.005,0
14A,14,E-L1 vs E-L2,U1,wing,A,1,15,F,Non-Native,604.557,253.908,280.989,0.468315,298.312,0.497186667,272.157,0.453595,204.858,0.34143,261.914,0.436523333,317.535,0.529225,0,0,0,0,1.06839924,2.736807339,6.329232558,10.782,29.10155556,105.845,0
14B,14,E-L1 vs E-L2,U2,wing,A,1,15,M,Native,604.563,265.731,300.999,0.501665,216.717,0.361195,236.747,0.394578333,182.647,0.304411667,180.158,0.300263333,0,0,0,0,0,0,2.246261194,4.925386364,10.76122727,20.29411111,90.079,0,0
14A,14,E-L1 vs E-L2,U1,eye,F,2,15,F,Non-Native,604.56,303.977,253.572,0.42262,295.891,0.493151667,276.971,0.461618333,358.968,0.59828,509.97,0.84995,539.297,0.898828333,0,0,0,0,1.78571831,5.379836364,16.29241176,44.871,169.99,269.6485,0
14B,14,E-L1 vs E-L2,U2,eye,F,2,15,M,Native,604.558,285.096,298.926,0.49821,327.869,0.546448333,323.62,0.539366667,256.399,0.427331667,264.499,0.440831667,0,0,0,0,0,0,0.849221591,2.245678082,5.136825397,11.6545,88.16633333,0,0
14A,14,E-L1 vs E-L2,U1,thumb,V,3,15,F,Non-Native,604.669,289.013,309.613,0.516021667,295.384,0.492306667,243.638,0.406063333,331.892,0.553153333,357.523,0.595871667,308.938,0.514896667,6.161,0.010268333,0,0,1.018463816,2.204358209,3.337506849,8.2973,18.817,44.134,2.053666667
14B,14,E-L1 vs E-L2,U2,thumb,V,3,15,M,Native,604.307,307.534,259.568,0.432613333,320.827,0.534711667,234.358,0.390596667,261.507,0.435845,282.138,0.47023,250.534,0.417556667,22.173,0.036955,0,0,1.063803279,3.865385542,6.167315789,15.38276471,28.2138,41.75566667,11.0865
15A,15,E-L1 vs E-L2,U1,thumb,A,1,18,F,Non-Native,604.553,274.358,349.688,0.582813333,267.204,0.44534,236.297,0.393828333,144.858,0.24143,167.775,0.279625,224.732,0.374553333,0,0,0,0,1.554168889,3.036409091,6.949911765,13.16890909,41.94375,112.366,0
15B,15,E-L1 vs E-L2,U2,thumb,A,1,18,M,Native,604.604,278.273,371.412,0.61902,309.206,0.515343333,333.291,0.555485,313.529,0.522548333,252.827,0.421378333,69.911,0.116518333,113.486,0.189143333,0.063,0,2.365681529,3.914,9.007864865,14.92995238,31.603375,17.47775,113.486
15A,15,E-L1 vs E-L2,U1,wing,F,2,18,F,Non-Native,604.657,259.645,236.236,0.393726667,257.813,0.429688333,233.429,0.389048333,57.607,0.096011667,0,0,0,0,0,0,0,0,3.579333333,11.20926087,17.95607692,14.40175,0,0,0
15B,15,E-L1 vs E-L2,U2,wing,F,2,18,M,Native,604.563,318.124,247.829,0.413048333,204.391,0.340651667,306.815,0.511358333,282.495,0.470825,255.673,0.426121667,350.672,0.584453333,58.135,0.096891667,0,0,1.101462222,2.587227848,8.522638889,20.17821429,42.61216667,116.8906667,29.0675
15A,15,E-L1 vs E-L2,U1,eye,V,3,18,F,Non-Native,604.698,278.896,237.904,0.396506667,241.363,0.402271667,115.315,0.192191667,294.584,0.490973333,68.587,0.114311667,21.879,0.036465,42.499,0.070831667,0.15,0.15,1.195497487,2.595301075,2.562555556,10.91051852,5.715583333,3.6465,10.62475
15B,15,E-L1 vs E-L2,U2,eye,V,3,18,M,Native,604.677,273.149,284.941,0.474901667,347.511,0.579185,315.074,0.525123333,398.348,0.663913333,231.38,0.385633333,413.655,0.689425,71.185,0.118641667,71.185,0.133,0.999792983,2.945008475,5.944792453,14.22671429,21.03454545,103.41375,35.5925
16A,16,E-L1 vs E-L2,U1,thumb,A,1,11,M,Non-Native,604.559,289.733,233.803,0.389671667,292.639,0.487731667,322.402,0.537336667,186.562,0.310936667,154.731,0.257885,0,0,0,0,0,0,1.23705291,3.568768293,11.51435714,23.32025,51.577,0,0
16B,16,E-L1 vs E-L2,U2,thumb,A,1,11,F,Native,604.573,254.629,289.409,0.482348333,234.778,0.391296667,290.053,0.483421667,377.211,0.628685,118.325,0.197208333,2.303,0.003838333,0,0,0,0,2.432008403,5.726292683,12.611,47.151375,29.58125,2.303,0
16A,16,E-L1 vs E-L2,U1,eye,V,2,11,M,Non-Native,604.601,261.342,302.22,0.5037,223.551,0.372585,178.231,0.297051667,123.394,0.205656667,178.257,0.297095,79.398,0.13233,80.576,0.134293333,54.228,24.818,1.175953307,1.49034,1.730398058,1.788318841,3.495235294,1.98495,2.685866667
16B,16,E-L1 vs E-L2,U2,eye,V,2,11,F,Native,604.6,302.129,262.806,0.43801,288.535,0.480891667,304.656,0.50776,305.953,0.509921667,161.76,0.2696,118.104,0.19684,63.513,0.105855,56.112,0.077,1.622259259,4.181666667,6.924,12.23812,8.986666667,8.436,7.939125
16A,16,E-L1 vs E-L2,U1,wing,F,3,11,M,Non-Native,604.555,261.328,330.681,0.551135,249.686,0.416143333,325.196,0.541993333,257.345,0.428908333,510.272,0.850453333,510.212,0.850353333,78.288,0.13048,0,0,2.413729927,6.089902439,16.2598,23.395,127.568,170.0706667,78.288
16B,16,E-L1 vs E-L2,U2,wing,F,3,11,F,Native,604.602,254.078,198.888,0.33148,277.505,0.462508333,335.937,0.559895,267.467,0.445778333,167.418,0.27903,216.7,0.361166667,250.299,0.417165,0,0,1.063572193,3.908521127,12.44211111,15.73335294,20.92725,36.11666667,125.1495
17A,17,E-L1 vs E-L2,U1,wing,A,1,12,M,Native,604.659,303.002,309.757,0.516261667,200.025,0.333375,146.702,0.244503333,155.051,0.258418333,474.994,0.791656667,0,0,0,0,0,0,1.094547703,2.00025,10.47871429,31.0102,474.994,0,0
17B,17,E-L1 vs E-L2,U2,wing,A,1,12,F,Non-Native,604.666,257.698,251.256,0.41876,323.055,0.538425,272.209,0.453681667,313.39,0.522316667,275.659,0.459431667,231.848,0.386413333,72.843,0.121405,0,0,2.305100917,6.873510638,14.32678947,34.82111111,91.88633333,115.924,72.843
17A,17,E-L1 vs E-L2,U1,thumb,V,2,12,M,Native,604.761,289.459,228.567,0.380945,315.175,0.525291667,347.381,0.578968333,301.301,0.502168333,431.768,0.719613333,331.365,0.552275,382.643,0.637738333,0,0,0.714271875,2.087251656,4.397227848,7.173833333,23.98711111,47.33785714,382.643
17B,17,E-L1 vs E-L2,U2,thumb,V,2,12,F,Non-Native,604.809,315.715,203.291,0.338818333,248.088,0.41348,238.902,0.39817,152.939,0.254898333,213.658,0.356096667,257.103,0.428505,0,0,0,0,1.708327731,4.27737931,7.026529412,10.19593333,42.7316,85.701,0
17A,17,E-L1 vs E-L2,U1,eye,F,3,12,M,Native,604.559,279.115,311.459,0.519098333,196.378,0.327296667,281.542,0.469236667,120.609,0.201015,335.878,0.559796667,0,0,0,0,0,0,2.147993103,3.328440678,10.42748148,15.076125,111.9593333,0,0
17B,17,E-L1 vs E-L2,U2,eye,F,3,12,F,Non-Native,604.569,162.741,359.992,0.599986667,153.393,0.255655,264.871,0.441451667,249.916,0.416526667,312.367,0.520611667,0,0,0,0,0,0,3.050779661,2.788963636,9.810037037,24.9916,312.367,0,0
18A,18,E-L1 vs E-L2,U1,eye,A,1,10,F,Non-Native,604.558,292.02,273.089,0.455148333,252.973,0.421621667,300.507,0.500845,283.641,0.472735,356.307,0.593845,97.832,0.163053333,0,0,0,0,0.627790805,1.240063725,3.00507,5.351716981,16.19577273,19.5664,0
18B,18,E-L1 vs E-L2,U2,eye,A,1,10,M,Native,604.572,325.84,449.738,0.749563333,263.615,0.439358333,316.601,0.527668333,310.928,0.518213333,0,0,0,0,0,0,0,0,4.636474227,20.27807692,105.5336667,310.928,0,0,0
18A,18,E-L1 vs E-L2,U1,wing,V,2,10,F,Non-Native,604.394,301.425,282.092,0.470153333,295.904,0.493173333,222.667,0.371111667,197.227,0.328711667,413.044,0.688406667,301.744,0.502906667,285.059,0.475098333,285.059,0.062,1.142072874,2.690036364,4.201264151,8.217791667,51.6305,60.3488,142.5295
18B,18,E-L1 vs E-L2,U2,wing,V,2,10,M,Native,603.579,266.004,307.538,0.512563333,206.573,0.344288333,261.656,0.436093333,119.727,0.199545,0,0,0,0,0,0,0,0,3.07538,7.123206897,32.707,39.909,0,0,0
18A,18,E-L1 vs E-L2,U1,thumb,F,3,10,F,Non-Native,604.552,288.471,353.355,0.588925,287.368,0.478946667,291.429,0.485715,330.911,0.551518333,151.63,0.252716667,32.804,0.054673333,0,0,0,0,1.424818548,2.588900901,5.204089286,12.25596296,15.163,16.402,0
18B,18,E-L1 vs E-L2,U2,thumb,F,3,10,M,Native,604.563,278.932,286.89,0.47815,332.692,0.554486667,222.418,0.370696667,385.607,0.642678333,195.705,0.326175,292.932,0.48822,82.583,0.137638333,0,0,1.263832599,4.211291139,6.178277778,21.42261111,32.6175,97.644,82.583
37A,37,E-L2 vs E-L2,U1,wing,F,1,10,F,Non-Native,603.557,303.907,224.067,0.373445,258.89,0.431483333,224.34,0.3739,141.456,0.23576,146.09,0.243483333,330.48,0.5508,0,0,0,0,1.042172093,2.696770833,5.471707317,9.4304,29.218,165.24,0
37B,37,E-L2 vs E-L2,U2,wing,F,1,10,F,Non-Native,603.572,259.621,306.74,0.511233333,208.423,0.347371667,257.075,0.428458333,271.883,0.453138333,377,0.628333333,149.595,0.249325,0,0,0,0,1.658054054,2.6052875,6.120833333,14.30963158,34.27272727,37.39875,0
37A,37,E-L2 vs E-L2,U1,thumb,V,2,10,F,Non-Native,603.492,271.389,283.15,0.471916667,232.625,0.387708333,265.68,0.4428,182.286,0.30381,175.079,0.291798333,58.065,0.096775,20.512,0.034186667,0,0,1.220474138,2.349747475,5.652765957,8.680285714,17.5079,11.613,10.256
37B,37,E-L2 vs E-L2,U2,thumb,V,2,10,F,Non-Native,603.844,281.831,299.671,0.499451667,211.152,0.35192,214.183,0.356971667,265.538,0.442563333,145.153,0.241921667,5.228,0.008713333,0.143,0.000238333,0.143,19.597,2.270234848,5.2788,10.70915,24.13981818,20.73614286,1.307,0.0715
37A,37,E-L2 vs E-L2,U1,eye,A,3,10,F,Non-Native,603.622,250.936,210.554,0.350923333,192.642,0.32107,293.023,0.488371667,237.391,0.395651667,128.234,0.213723333,54.755,0.091258333,0,0,0,0,1.245881657,2.963723077,10.10424138,19.78258333,25.6468,54.755,0
37B,37,E-L2 vs E-L2,U2,eye,A,3,10,F,Non-Native,603.577,214.444,273.112,0.455186667,184.697,0.307828333,120.795,0.201325,358.952,0.598253333,449.017,0.748361667,133.007,0.221678333,0,0,0,0,4.791438596,7.695708333,10.06625,44.869,112.25425,66.5035,0
38A,38,E-L2 vs E-L2,U1,thumb,F,1,9,F,Non-Native,603.621,300.651,311.128,0.518546667,291.495,0.485825,267.688,0.446146667,362.045,0.603408333,140.874,0.23479,443.453,0.739088333,0,0,0,0,2.571305785,8.097083333,15.74635294,51.72071429,46.958,221.7265,0
38B,38,E-L2 vs E-L2,U2,thumb,F,1,9,F,Non-Native,603.577,287.721,291.574,0.485956667,326.176,0.543626667,375.132,0.62522,374.195,0.623658333,113.919,0.189865,123.336,0.20556,0,0,0,0,1.388447619,3.469957447,10.42033333,26.72821429,28.47975,61.668,0
38A,38,E-L2 vs E-L2,U1,eye,V,2,9,F,Non-Native,604.254,258.165,281.613,0.469355,263.276,0.438793333,130.77,0.21795,320.752,0.534586667,195.797,0.326328333,322.499,0.537498333,266.357,0.443928333,6.143,0,3.06101087,7.743411765,5.944090909,21.38346667,27.971,107.4996667,133.1785
38B,38,E-L2 vs E-L2,U2,eye,V,2,9,F,Non-Native,604.03,321.471,301.322,0.502203333,287.886,0.47981,241.457,0.402428333,247.429,0.412381667,213.57,0.35595,259.704,0.43284,277.007,0.461678333,240.341,0,1.060992958,2.937612245,4.927693878,7.981580645,10.6785,17.3136,23.08391667
38A,38,E-L2 vs E-L2,U1,wing,A,3,9,F,Non-Native,603.594,311.763,317.695,0.529491667,265.705,0.442841667,368.823,0.614705,294.716,0.491193333,304.486,0.507476667,178.524,0.29754,0,0,0,0,2.062954545,3.795785714,11.52571875,19.64773333,50.74766667,89.262,0
38B,38,E-L2 vs E-L2,U2,wing,A,3,9,F,Non-Native,603.629,304.236,285.437,0.475728333,322.454,0.537423333,273.268,0.455446667,270.019,0.450031667,309.019,0.515031667,251.525,0.419208333,314.267,0.523778333,546.185,0,0.957842282,2.336623188,5.156,10.0007037,20.60126667,35.93214286,157.1335
39A,39,E-L2 vs E-L2,U1,eye,F,1,14,F,Non-Native,603.59,290.054,316.801,0.528001667,218.751,0.364585,286.284,0.47714,157.275,0.262125,158.826,0.26471,0,0,0,0,0,0,1.50857619,2.457876404,8.179542857,19.659375,158.826,0,0
39B,39,E-L2 vs E-L2,U2,eye,F,1,14,F,Non-Native,603.566,312.704,253.961,0.423268333,236.387,0.393978333,294.042,0.49007,385.04,0.641733333,95.875,0.159791667,0,0,0,0,0,0,1.418776536,3.238178082,9.485225806,35.00363636,31.95833333,0,0
39A,39,E-L2 vs E-L2,U1,wing,V,2,14,F,Non-Native,603.323,301.248,290.166,0.48361,266.603,0.444338333,295.301,0.492168333,289.592,0.482653333,269.383,0.448971667,84.363,0.140605,94.899,0.158165,51.626,146.08,0.655002257,1.190191964,2.094333333,3.6199,5.180442308,2.481264706,4.519
39B,39,E-L2 vs E-L2,U2,wing,V,2,14,F,Non-Native,603.21,293.886,303.561,0.505935,274.99,0.458316667,309.788,0.516313333,243.622,0.406036667,331.214,0.552023333,166.106,0.276843333,144.009,0.240015,0.156,0.083,0.917102719,1.797320261,3.732385542,5.942,15.05518182,18.45622222,36.00225
39A,39,E-L2 vs E-L2,U1,thumb,A,3,14,F,Non-Native,604.555,299.332,325.495,0.542491667,235.097,0.391828333,313.555,0.522591667,331.575,0.552625,242.757,0.404595,104.052,0.17342,114.552,0.19092,0,0,0.940736994,1.836695313,7.465595238,20.7234375,40.4595,52.026,114.552
39B,39,E-L2 vs E-L2,U2,thumb,A,3,14,F,Non-Native,604.573,310.857,260.208,0.43368,206.312,0.343853333,226.521,0.377535,406.545,0.677575,62.697,0.104495,18.391,0.030651667,440.995,0.734991667,0,0,1.512837209,2.679376623,5.808230769,25.4090625,15.67425,18.391,440.995
40A,40,E-L2 vs E-L2,U1,wing,F,1,18,M,Non-Native,603.556,292.41,281.095,0.468491667,321.587,0.535978333,301.845,0.503075,47.624,0.079373333,226.521,0.377535,268.02,0.4467,107.187,0.178645,0.077,0.077,3.386686747,11.0892069,30.1845,6.803428571,56.63025,134.01,107.187
40B,40,E-L2 vs E-L2,U2,wing,F,1,18,F,Non-Native,603.605,277.024,231.881,0.386468333,245.46,0.4091,165.475,0.275791667,167.378,0.278963333,0,0,0,0,0,0,0,0,2.8985125,7.219411765,16.5475,83.689,0,0,0
40A,40,E-L2 vs E-L2,U1,thumb,A,2,18,M,Non-Native,603.558,257.372,319.965,0.533275,256.1,0.426833333,277.671,0.462785,295.953,0.493255,168.674,0.281123333,92.158,0.153596667,0,0,0,0,2.806710526,5.122,8.414272727,14.093,21.08425,92.158,0
40B,40,E-L2 vs E-L2,U2,thumb,A,2,18,F,Non-Native,603.574,288.554,168.881,0.281468333,155.059,0.258431667,170.703,0.284505,376.638,0.62773,240.58,0.400966667,375.2,0.625333333,0,0,0,0,1.37301626,3.29912766,7.421869565,41.84866667,80.19333333,375.2,0
40A,40,E-L2 vs E-L2,U1,eye,V,3,18,M,Non-Native,603.528,254.785,200.985,0.334975,271.303,0.452171667,146.004,0.24334,201.622,0.336036667,102.587,0.170978333,40.77,0.06795,0.065,0.000108333,0,0,1.467043796,4.677637931,4.8668,10.61168421,7.891307692,10.1925,0.065
40B,40,E-L2 vs E-L2,U2,eye,V,3,18,F,Non-Native,603.185,190.932,247.554,0.41259,380.768,0.634613333,275.223,0.458705,272.425,0.454041667,71.256,0.11876,78.041,0.130068333,0,0,0,0,2.982578313,11.19905882,18.3482,34.053125,14.2512,39.0205,0
41A,41,E-L2 vs E-L2,U1,eye,F,1,5,F,Non-Native,602.614,236.819,279.156,0.46526,290.758,0.484596667,249.967,0.416611667,340.64,0.567733333,281.97,0.46995,333.285,0.555475,573.537,0.955895,0,0,2.19807874,5.384407407,11.36213636,42.58,93.99,166.6425,573.537
41B,41,E-L2 vs E-L2,U2,eye,F,1,5,M,Non-Native,602.564,303.186,104.016,0.17336,44.91,0.07485,64.602,0.10767,0,0,0,0,0,0,0,0,0,0,3.714857143,5.61375,32.301,0,0,0,0
41A,41,E-L2 vs E-L2,U1,wing,A,2,5,F,Non-Native,602.56,260.135,322.269,0.537115,460.828,0.768046667,187.765,0.312941667,51.887,0.086478333,178.555,0.297591667,24.66,0.0411,0,0,0,0,3.97862963,18.43312,14.44346154,10.3774,89.2775,24.66,0
41B,41,E-L2 vs E-L2,U2,wing,A,2,5,M,Non-Native,602.627,302.366,265.619,0.442698333,298.179,0.496965,243.211,0.405351667,385.436,0.642393333,293.876,0.489793333,0.401,0.000668333,0,0,0,0,1.747493421,6.344234043,16.21406667,64.23933333,97.95866667,0.401,0
41A,41,E-L2 vs E-L2,U1,thumb,V,3,5,F,Non-Native,603.195,266.754,238.649,0.397748333,231.974,0.386623333,309.781,0.516301667,325.704,0.54284,296.375,0.493958333,258.83,0.431383333,0.444,0.00074,0.271,0.145,0.817291096,1.526144737,3.480685393,6.386352941,11.39903846,32.35375,0.148
41B,41,E-L2 vs E-L2,U2,thumb,V,3,5,M,Non-Native,603.365,276.939,302.625,0.504375,304.248,0.50708,236.852,0.394753333,168.959,0.281598333,325.526,0.542543333,128.605,0.214341667,0,0,0,0,1.627016129,4.225666667,6.966235294,9.938764706,65.1052,128.605,0
42A,42,E-L2 vs E-L2,U1,thumb,F,1,13,F,Non-Native,603.553,296.74,324.622,0.541036667,215.185,0.358641667,57.293,0.095488333,324.632,0.541053333,0,0,0,0,0,0,0,0,4.446876712,13.4490625,19.09766667,324.632,0,0,0
42B,42,E-L2 vs E-L2,U2,thumb,F,1,13,M,Non-Native,602.768,263.683,297.146,0.495243333,258.914,0.431523333,313.258,0.522096667,269.688,0.44948,307.759,0.512931667,405.792,0.67632,273.857,0.456428333,0,0,0.871395894,1.737677852,4.176773333,9.631714286,30.7759,101.448,273.857
42A,42,E-L2 vs E-L2,U1,eye,A,2,13,F,Non-Native,603.584,286.504,331.593,0.552655,231.11,0.385183333,209.084,0.348473333,187.223,0.312038333,359.335,0.598891667,0,0,0,0,0,0,2.531244275,8.253928571,19.00763636,46.80575,179.6675,0,0
42B,42,E-L2 vs E-L2,U2,eye,A,2,13,M,Non-Native,603.574,276.493,266.437,0.444061667,334.944,0.55824,246.021,0.410035,289.122,0.48187,230.351,0.383918333,155.677,0.259461667,315.6,0.526,0,0,0.61962093,1.683135678,3.0752625,7.413384615,15.35673333,31.1354,315.6
42A,42,E-L2 vs E-L2,U1,wing,V,3,13,F,Non-Native,603.954,284.673,262.007,0.436678333,324.831,0.541385,257.551,0.429251667,193.063,0.321771667,90.533,0.150888333,0.073,0.000121667,0.073,0.000121667,0.073,0.073,1.578355422,3.455648936,5.98955814,27.58042857,45.2665,0.073,0.073
42B,42,E-L2 vs E-L2,U2,wing,V,3,13,M,Non-Native,603.502,289.177,255.237,0.425395,322.675,0.537791667,234.294,0.39049,295.457,0.492428333,164.229,0.273715,0.294,0.00049,0.14,0.000233333,0.079,0.079,0.723050992,2.960321101,5.578428571,13.42986364,16.4229,0.0735,0.07
